Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,Grand Total
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403383964622188,0.0,0.018388775491440024
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403383964622188,0.0,0.018388775491440024
2020-03-04,0.27051153731706656,0.0,0.0,0.0,0.0,0.1710717646052519,0.0,0.0,0.0,0.0,0.0,0.0,0.2403383964622188,0.0,0.05516632647432008
2020-03-05,0.27051153731706656,0.0,0.0,0.0,0.3267226451465351,0.3421435292105038,0.08510783162266591,0.0,0.0,0.0,0.0,0.0,0.2403383964622188,0.0,0.11033265294864016
2020-03-06,0.27051153731706656,0.0,0.0,0.5377645129197924,0.6534452902930702,0.5132152938157557,0.08510783162266591,0.0,0.0,0.11138710360114505,0.0,0.0,0.2403383964622188,0.0,0.2022765304058403
2020-03-07,0.27051153731706656,0.0,0.0,0.5377645129197924,0.6534452902930702,0.6842870584210076,0.17021566324533183,0.0,0.3033980582524272,0.2227742072022901,0.0,0.0,0.2403383964622188,0.0,0.2942204078630404
2020-03-08,0.27051153731706656,0.0,0.0,0.5377645129197924,0.6534452902930702,0.6842870584210076,0.25532349486799777,0.0,0.3033980582524272,0.33416131080343514,0.0,0.0,0.2403383964622188,0.0,0.3309979588459204
2020-03-09,0.27051153731706656,0.0,0.0,0.5377645129197924,0.6534452902930702,0.6842870584210076,0.25532349486799777,0.0,0.4550970873786408,0.5569355180057253,0.0,8.699434536755112,0.2403383964622188,0.0,0.4229418363031206
2020-03-10,0.27051153731706656,0.0,0.0,0.5377645129197924,0.6534452902930702,1.0264305876315114,0.25532349486799777,0.0,0.4550970873786408,0.7797097252080154,0.0,8.699434536755112,0.2403383964622188,0.0,0.4964969382688807
2020-03-11,0.8115346119511997,1.7350568231109569,0.0,0.5377645129197924,0.6534452902930702,1.0264305876315114,0.4255391581133296,0.0,0.6067961165048544,0.8910968288091604,0.0,8.699434536755112,0.4806767929244376,0.0,0.6619959176918409
2020-03-12,1.0820461492682663,1.7350568231109569,0.0,0.8066467693796886,1.9603358708792105,1.1975023522367632,0.8510783162266592,0.0,1.0618932038834952,1.2252581396125957,0.0,26.098303610265333,0.9613535858488752,0.0,1.1033265294864014
2020-03-13,1.0820461492682663,2.602585234666435,0.0,1.0755290258395849,1.9603358708792105,1.8817894106577708,1.7872644640759843,0.0,1.0618932038834952,2.227742072022901,0.0,26.098303610265333,0.7210151893866564,0.0,1.563045916772402
2020-03-14,1.6230692239023994,4.337642057777392,0.0,1.6132935387593772,1.9603358708792105,1.539645881447267,2.638342780302643,0.3107520198881293,1.516990291262136,2.7846775900286262,0.0,47.84688995215311,2.6437223610844067,0.0,2.225041834464243
2020-03-15,1.6230692239023994,6.072698880888349,0.0,1.8821757952192735,3.267226451465351,2.052861175263023,3.3192054332839707,0.6215040397762586,2.4271844660194177,3.1188389008320616,0.0,47.84688995215311,3.605075946933282,0.0,2.813482650190324
2020-03-16,1.8935807612194662,6.072698880888349,0.6720881779689495,1.8821757952192735,3.267226451465351,2.052861175263023,3.7447445913973003,0.6215040397762586,3.033980582524272,3.2302260044332067,0.0,65.24575902566333,4.085752739857719,0.0,3.1444806090362443
2020-03-17,1.6230692239023994,6.072698880888349,0.6720881779689495,1.8821757952192735,3.920671741758421,3.7635788213155417,4.17028374951063,1.5537600994406464,3.1856796116504857,3.3416131080343514,0.0,65.24575902566333,4.806767929244376,0.0,3.585811220830805
2020-03-18,2.4346038358535993,6.072698880888349,2.688352711875798,2.1510580516791697,4.900839677198026,4.105722350526046,4.851146402491957,1.5537600994406464,3.79247572815534,3.6757744188377868,0.0,69.59547629404089,5.768121515093251,0.0,4.174252036556886
2020-03-19,3.2461384478047988,6.9402272924438275,4.032529067813697,2.419940308139066,5.554284967491096,3.079291762894534,6.04265604520928,1.8645121193287757,5.006067961165049,3.898548626040077,0.0,104.39321444106133,6.4891367044799075,0.0,4.891414280723047
2020-03-20,4.328184597073065,7.807755703999305,6.7208817796894955,3.2265870775187544,7.514620838370307,3.2503635274997857,7.7448126776625985,1.8645121193287757,6.219660194174757,4.455484144045802,0.0,104.39321444106133,7.450490290328783,0.0,5.921185708243688
2020-03-21,5.6807422836583985,8.675284115554785,8.737146313596345,3.495469333978651,8.821511418956447,3.4214352921050377,9.361861478493251,2.4860161591050343,7.433252427184466,4.901032558450383,0.0,104.39321444106133,8.171505479715439,0.0,6.8590132583071295
2020-03-22,6.762788432926665,9.542812527110263,10.753410847503192,4.3021161033583395,9.801679354396052,3.9346505859207936,11.064018110946568,2.4860161591050343,7.433252427184466,5.123806765652673,0.0,104.39321444106133,9.132859065564315,0.0,7.649730604439051
2020-03-23,9.197392268780265,10.41034093866574,12.097587203441092,5.108762872738028,13.068905805861403,4.105722350526046,12.936390406645218,3.7290242386575514,8.79854368932039,6.571839112467559,0.0,104.39321444106133,11.295904633724284,0.0,9.175998970228573
2020-03-24,11.09097302999973,10.41034093866574,17.47429262719269,6.722056411497405,14.049073741301008,4.105722350526046,15.574733186947862,4.039776258545681,11.37742718446602,7.797097252080154,0.0,104.39321444106133,11.536243030186503,0.0,10.739044887000974
2020-03-25,15.419157627072796,13.012926173332175,20.834733517037435,7.79758543733699,19.27663606364557,4.961081173552305,18.808830788609168,6.836544437538844,13.197815533980583,9.802065116900765,0.0,104.39321444106133,13.699288598346472,0.0,13.221529578345377
2020-03-26,20.017853761462927,19.953153465776005,26.21143894078903,10.755290258395847,24.504198385990133,5.303224702762809,21.957820558647807,9.01180857675575,17.29368932038835,12.3639684997271,0.0,104.39321444106133,18.26571813112863,0.0,16.43956528934738
2020-03-27,20.288365298779993,24.290795523553395,31.58814436454063,11.024172514855744,26.464534256869342,7.698229407236335,25.44724165517711,10.254816656308266,21.237864077669904,15.482807400559162,0.0,104.39321444106133,25.716208421457413,0.0,19.473713245434986
2020-03-28,24.346038358535992,30.363494404441745,40.32529067813697,13.712995079454707,31.038651288920832,8.8957317594731,32.00054469012238,11.187072715972654,25.030339805825243,16.8194526437729,0.0,117.442366246194,25.716208421457413,0.0,22.894025486842832
2020-03-29,29.21524603024319,43.37642057777392,42.34155521204382,15.59517087467398,30.711928643774296,10.606449405525618,34.12824048068903,13.05158483530143,27.9126213592233,20.94077547701527,0.0,117.442366246194,25.716208421457413,0.0,25.450065280152995
